var S0
var S1
var S2
var S3
var S4
ext S5
ext S6
ext S7
ext S8
ext S9
S2->S0; k1*S2
S1+S4->S3; k2*S1*S4
S9+S6->S1; k3*S9*S6
S8->S0+S4; k5*S8
S3->S2; k7*S3
S0+S4->S4; k9*S0*S4
S3+S4->S4; k10*S3*S4
S0->S0+S4; k12*S0
S1+S0->S3; k14*S1*S0
S2+S4->S0+S4; k15*S2*S4
k1 = 1.009401424095363
k2 = 114.2321640490965
k3 = 40.13151651529354
k5 = 28.310556112897352
k7 = 26.5731651797195
k9 = 4.880202278397219
k10 = 11.791583561785394
k12 = 42.938261822504025
k14 = 38.153319036795004
k15 = 14.530197051881288
S0 = 1.0
S1 = 5.0
S2 = 9.0
S3 = 3.0
S4 = 10.0
S5 = 3.0
S6 = 7.0
S7 = 1.0
S8 = 6.0
S9 = 3.0
